confidence,text
99.64539337158203,OPENED
67.06462860107422,3
50.748939514160156,3700/
20.140047073364258,O
71.36250305175781,5
62.70100021362305,700P
9.015827178955078,7F
92.38858032226562,663405/
47.88365936279297,29
80.76573944091797,2
40.41099548339844,9
86.3085708618164,/
96.21112060546875,(mm
95.7343978881836,dd
81.04483032226562,yyw)
85.91548156738281,/
78.90901184082031,05
84.62005615234375,/
83.41160583496094,2004
94.3962173461914,2
89.27976989746094,5
72.34649658203125,2
96.85987854003906,9
85.65764617919922,1
95.04161071777344,4
94.20999145507812,1
89.33356475830078,6
90.8613052368164,7
53.333248138427734,7
24.95282554626465,D
90.73062896728516,8
47.27891540527344,O
